record_id,product_id,category,city,date,Unit_Cost_ngn,Unit_Price_ngn,revenue_ngn,cost_ngn,units_sold
REV0000000,PRD22956,groceries,Calabar,12-04-24,6858.010943,9465.939735,8935847.11,6473962.33,944
REV0000005,PRD10010,Baby & Kids,Lagos,10-04-24,3069.459711,3675.53582,2286183.28,1909203.94,622
REV0000018,PRD18543,Electronics,Ibadan,08-04-24,34119.65514,44872.51176,,2524854.48,74
 REV0000028,PRD79586,Groceries,Onitsha,22-04-24,8602.609212,12494.03878,6659322.67,4585190.71,533
REV0000039,PRD31831,Books & Media,Kano,12-04-24,8930.551367,10740.44551,9666400.96,8037496.23,900
REV0000049,PRD95440,Beauty & Personal Care,Abeokuta,12-04-24,18876.18246,23344.04577,,2453903.72,130
REV0000055,PRD75071,Books & Media,Onitsha,11-04-24,16867.07669,26964.72225,8386028.62,5245660.85,311
 REV0000073,PRD31576,Books & Media,Jos,04-04-24,13738.46,19758.01907,8535464.24,5935014.72,432
REV0000083,PRD94369,Home & Living,Lagos,19-04-24,6038.308789,8298.236513,7402026.97,5386171.44,892
REV0000094,PRD46374,Beauty & Personal Care,Calabar,26-04-24,50550.69083,78523.19514,5653670.05,,72
REV0000097,PRD81565,Sports & Outdoors,Enugu,09-04-24,961.8267914,1298.95266,971616.59,719446.44,748
REV0000127,PRD61994,Home & Living, Kano ,14-04-24,1147.606845,1701.76119,1688147.1,1138425.99,992
REV0000129,Prd35855,Beauty & Personal Care,Onitsha,21-04-24,2588.754596,3138.386397,2560923.3,2112423.75,816
REV0000133,PRD98611,Electronics,Kaduna,06-04-24,10115.40541,16669.54657,8934876.96,,536
REV0000135,PRD32739,Sports & Outdoors,Jos,01-04-24,293.9457171,403.7819057,205524.99,149618.37,509
REV0000138,PRD20245,Home & Living,Abeokuta,06-04-24,177.1144509,293.2529089,251024.49,151609.97,856
REV0000143,prd39302,Health,Onitsha,09-04-24,4629.816639,6512.345375,6336512.05,4504811.59,973
REV0000160,PRD98267,Automotive,Port Harcourt,07-04-24,9208.016238,11443.1347,3650359.97,,319
REV0000170,PRD45146,Fashion,Aba,05-04-24,1647.940901,2238.928222,969455.92,713558.41,433
REV0000172,PRD55649,Groceries,Aba,09-04-24,11694.62438,16615.53438,6646213.75,,400
REV0000186,PRD60606,Groceries,Kano,23-04-24,17491.8639,24271.44036,6723188.98,4845246.3,277
REV0000197,PRD64465,Baby & Kids, Ibadan,23-04-24,43000.29702,64643.64962,6722939.56,4472030.89,104
Rev0000212,PRD81853,Automotive,Aba,13-04-24,7342.334145,8773.927934,6878759.5,5756389.97,784
REV0000220,PRD31169,Baby & Kids ,Abeokuta,17-04-24,21002.61274,32486.66262,2728879.66,1764219.47,84
REV0000224,PRD68131,Beauty & Personal Care,Ibadan,04-04-24,7559.41547,9445.724353,7443230.79,5956819.39,788
REV0000226,PRD47448 ,Books & Media,Ibadan ,28-04-24,3477.84669,5166.024,1498146.96,1008575.54,290
REV0000246,PRD67132,Fashion, Benin City,10-04-24,8787.956869,11742.98757,3675555.11,2750630.5,313
REV0000249 ,PRD42248,Groceries,Jos,08-04-24,3413.38989,5208.986685,1885653.18,1235647.14,362
REV0000252,PRD40309,books & media,Kaduna,18-04-24,11928.97584,15625.11929,7437556.78,5678192.5,476
rev0000255, PRD87659 ,Sports & Outdoors,Abeokuta,19-04-24,2907.737447,4118.867434,3274499.61,2311651.27,795
REV0000263,Prd46633,Books & Media,Aba,01-04-24,4705.794506,6188.66684,5012820.14,3811693.55,810
Rev0000276,PRD77210,Electronics,Kaduna,16-04-24,2335.906049,3467.125932,2974794.05,2004207.39,858
REV0000277,PRD71643,Electronics,Aba,01-04-24,8050.248047,9935.622918,4630000.28,3751415.59,466
REV0000282,PRD24486,Baby & Kids,Abeokuta,11-04-24,891.124978,1093.871311,993235.15,809141.48,908
REV0000303,PRD45261,Health,Lagos,25-04-24,5231.980929,7068.937314,4948256.12,3662386.65,700
REV0000316,PRD13314,Groceries,Calabar,04-04-24,116960.4345,163225.9045,8324521.13,5964982.16,51
REV0000325,PRD21478,Home & Living,Kano,27-04-24,2506.615824,3930.755479,2503891.24,,637
REV0000337,PRD27668,Automotive,Ilorin,13-04-24,49857.3552,60584.54892,8966513.24,7378888.57,148
 REV0000338,PRD26128,Baby & Kids,Benin City,20-04-24,1530.910942,1811.874027,,,807
REV0000339,PRD51441,Fashion,Abeokuta,07-04-24,31409.84061,41653.91677,4123737.76,3109574.22,99
REV0000345,PRD78247, Home & Living,Benin City,13-04-24,6510.324056,9459.934098,6763852.88,4654881.7,715
REV0000348,PRD44319,Electronics,Ilorin,27-04-24,29123.41614,39540.73077,8698960.77,6407151.55,220
REV0000357,PRD63158,Electronics,Onitsha,14-04-24,53656.43561,69203.7898,6781971.4,,98
REV0000360, PRD44472,GROCERIES,Ilorin,21-04-24,10187.20704,14990.60048,,3850764.26,378
REV0000385,prd12943,Fashion,Jos,03-04-24,728.5092254,1134.655197,805605.19,517241.55,710
REV0000405,PRD71010,Groceries,Lagos ,18-04-24,55693.28554,78450.0141,6511351.17,4622542.7,83
REV0000410,PRD28916,Groceries,Onitsha,13-04-24,6249.970947,10108.24149,4801414.71,,475
 REV0000419,PRD44069 ,Books & Media,Abuja,18-04-24,330.4041212,460.0241212,227711.94,163550.04,495
REV0000443,PRD87578,Books & Media,Aba,05-04-24,7013.625941,9470.983353,1610067.17,1192316.41,170
REV0000461,PRD21298,Sports & Outdoors,Warri,19-04-24,598.5311828,844.0552688,235491.42,,279
REV0000465,PRD82168,Home & Living,Aba,26-04-24,12222.84365,18541.27483,3912208.99,2579020.01,211
