record_id,product_id,category,city,date,Unit_Cost_ngn,Unit_Price_ngn,revenue_ngn,cost_ngn,units_sold
REV0000016,prd98927,Electronics,Lagos,11-08-24,19624.00213,23189.54551,5008941.83,4238784.46,216
REV0000020,PRD87737,Health,Onitsha ,05-08-24,30120.02164,49561.65567,9961892.79,6054124.35,201
REV0000030,PRD15559,Fashion,Port Harcourt,09-08-24,7898.190385,12163.19236,2213701.01,1437470.65,182
REV0000031,PRD38494,GROCERIES,Jos,15-08-24,8598.825593,13937.22299,,1521992.13,177
REV0000035,prd54181,Fashion,Kaduna,09-08-24,4323.022739,6754.242377,6706962.68,4292761.58,993
REV0000063,PRD66225,Beauty & Personal Care,Aba,26-08-24,51038.39226,73209.55075,3880106.19,,53
REV0000074 ,PRD62988,Beauty & Personal Care,Abuja,26-08-24,13964.17398,21509.40519,3893202.34,2527515.49,181
REV0000092,PRD44439,Books & Media,Calabar,20-08-24,278.7228785,359.0447103,,149116.74,535
REV0000093,PRD27151,Baby & Kids,Jos,25-08-24,6570.202179,9447.399728,,3377083.92,514
Rev0000098,PRD22191,Groceries,ONITSHA,22-08-24,6692.835797,8733.253962,8707054.2,6672757.29,997
REV0000099,PRD96625,Electronics,Ibadan,25-08-24,778.262263,921.3575433,903851.75,763475.28,981
REV0000106,PRD91333,Books & Media,Abuja,25-08-24,44346.19876,59221.93227,5744527.43,4301581.28,97
REV0000107, PRD78224 , Baby & Kids,Onitsha,03-08-24,21627.35955,34731.79875,3056398.29,1903207.64,88
REV0000114,PRD10940,Electronics,Kano,18-08-24,328.8583198,424.4905263,209698.32,162456.01,494
REV0000134,PRD73282,Books & Media,Benin City,13-08-24,13436.35476,16266.5739,2667718.12,,164
REV0000159,PRD49662,Home & Living,Enugu,20-08-24,202576.108,255404.3806,,7090163.78,35
REV0000164,PRD49997,Sports & Outdoors,Kaduna,17-08-24,5616.73413,8213.229558,6324186.76,4324885.28,770
