record_id,product_id,category,city,date,Unit_Cost_ngn,Unit_Price_ngn,revenue_ngn,cost_ngn,units_sold
REV0000047,PRD33403,Automotive,Jos,24-01-24,971.4912552,1471.876192,,464372.82,478
REV0000057,PRD47839,Baby & Kids,Calabar,31-01-24,2262.520243,3375.7209,3338587.97,2237632.52,989
REV0000069,PRD55766,Groceries,Warri,23-01-24,4377.525505,5831.503029,4851810.52,3642101.22,832
REV0000080,PRD34421,Automotive,Jos,20-01-24,9019.056909,12724.94526,7698591.88,5456529.43,605
REV0000100,PRD27152,AUTOMOTIVE,Enugu,10-01-24,44837.1158,54461.13432,,,162
REV0000113,PRD75993,Beauty & Personal Care,Aba,21-01-24,8732.745914,10417.61011,5583839.02,4680751.81,536
REV0000116,PRD15212,Electronics,Aba ,31-01-24,3285.715263,3900.964338,3120771.47,2628572.21,800
REV0000128,PRD35572,Health,Kaduna,31-01-24,8141.629978,9756.183978,4341501.87,3623025.34,445
REV0000131,PRD43479,Books & Media,Jos,17-01-24,14885.8187,19767.18725,9764990.5,7353594.44,494
REV0000146,PRD82463,Baby & Kids,Abuja,05-01-24,12758.46738,17254.45988,8575466.56,,497
REV0000162,PRD21624, Books & Media,Jos,30-01-24,6312.714455,8088.885116,,5441559.86,862
REV0000167,PRD76635,Groceries, Ibadan ,29-01-24,551.2321687,728.1501752,,503274.97,913
REV0000169,PRD39906,Books & Media,Warri,01-01-24,2228.666553,2637.342423,2394706.92,,908
REV0000185, PRD37760,Sports & Outdoors ,Warri,01-01-24,19338.55127,27945.03886,,5917596.69,306
REV0000203,PRD80392,Beauty & Personal Care,Benin City,10-01-24,3807.68184,6212.721104,,620652.14,163
REV0000206,PRD26631,Electronics,Jos,25-01-24,16646.90076,20044.0895,6053315.03,5027364.03,302
REV0000210,PRD57004, Electronics ,Kaduna,17-01-24,169.5903125,223.8219097,193382.13,146526.03,864
Rev0000216,PRD42616,Sports & Outdoors,Ilorin,16-01-24,8987.459016,11727.60036,4292301.73,3289410,366
REV0000238,PRD43246,Electronics,Aba,30-01-24,2699.031503,4247.162023,,1400797.35,519
REV0000240,PRD72242,Fashion,Calabar ,17-01-24,24180.08219,32450.07116,9799921.49,7302384.82,302
REV0000244,PRD43534,Beauty & Personal Care, Lagos ,20-01-24,6546.588002,9347.472904,9076396.19,6356736.95,971
REV0000245,Prd33402,Sports & Outdoors,Lagos,06-01-24,25453.99291,36088.70186,,,86
REV0000253,PRD50301,Sports & Outdoors, Lagos,06-01-24,3291.927106,4043.329367,3897769.51,3173417.73,964
REV0000311,PRD30483,Fashion,Abeokuta,21-01-24,4589.632838,5427.176297,,3024568.04,659
REV0000312,PRD21118,Home & Living,Calabar,09-01-24,15155.57008,18861.90734,9280058.41,,492
REV0000327,PRD44352,Automotive,port harcourt,31-01-24,8376.73622,12316.7321,4692674.93,3191536.5,381
REV0000341,PRD35349,Groceries,Ibadan,01-01-24,10442.67647,14404.63045,8008974.53,5806128.12,556
REV0000365,PRD22430,Books & Media, Port Harcourt ,28-01-24,8935.130113,13187.34368,9376201.36,6352877.51,711
REV0000380,PRD13031,Sports & Outdoors,Ibadan,12-01-24,2559.897981,4239.485,1365114.17,,322
REV0000389,PRD10340,Home & Living,Ibadan,21-01-24,5411.432009,8035.805924,5480419.64,3690596.63,682
REV0000408,PRD65039,Automotive,Warri,29-01-24,45926.54218,69264.41806,8588787.84,5694891.23,124
REV0000409,PRD12922,Home & Living,Abuja,17-01-24,68015.19,85297.94849,9041582.54,7209610.14,106
REV0000420,PRD41799,Home & Living,Kano,14-01-24,591.8237709,792.7751313,332172.78,247974.16,419
 REV0000422 ,PRD58591,Home & Living,Kano,04-01-24,9413.974784,13609.08112,5348368.88,3699692.09,393
REV0000451,PRD84829,Electronics,Abeokuta,13-01-24,3428.56593,4090.8225,1407242.94,1179426.68,344
REV0000452,PRD79125,Automotive,Kaduna,14-01-24,6096.162378,8534.629177,2799358.37,1999541.26,328
REV0000459,PRD73782,Health,Onitsha,02-01-24,2670.676031,3994.162677,,2563848.99,960
 REV0000471,Prd23493,Beauty & Personal Care,Abeokuta,03-01-24,5366.200475,8522.745672,8428995.47,,989
REV0000479,PRD45211,Electronics,Abeokuta,11-01-24,4250.998098,7020.61951,7013598.89,4246747.1,999
REV0000484,PRD77221,Groceries,Ilorin,01-01-24,6048.651672,7251.810546,2124780.49,1772254.94,293
REV0000499,PRD31711,Groceries,Port Harcourt,30-01-24,3599.626077,5006.131781,4160095.51,2991289.27,831
REV0000507,PRD54380,Books & Media ,Abuja,30-01-24,9029.394711,12075.22731,6689675.93,,554
REV0000532,PRD79839,Baby & Kids,BENIN CITY,29-01-24,3453.973396,4508.531279,,,954
rev0000533,PRD54886,beauty & personal care,Ilorin,25-01-24,19394.71619,25760.20135,8990310.27,6768755.95,349
REV0000545,PRD16768,Automotive,Jos,31-01-24,3502.435646,4813.746835,3239651.62,2357139.19,673
 REV0000596 ,PRD32196,Home & Living,Kano,01-01-24,377.6621167,471.0011213,411654.98,330076.69,874
rev0000598,PRD83567,Beauty & Personal Care, Enugu ,08-01-24,6900.996745,8445.531924,8251284.69,6742273.82,977
REV0000610,PRD18009,Home & Living,Jos,13-01-24,9671.605699,13334.07932,9827216.46,7127973.4,737
REV0000614,PRD55796,Beauty & Personal Care, Onitsha,30-01-24,673.0718163,917.2464092,,322401.4,479
REV0000618,PRD26623, Sports & Outdoors,Jos,05-01-24,2542.841323,3038.813122,1148671.36,,378
REV0000626,PRD14723,Fashion,Kaduna,09-01-24,5418.164393,7000.434901,3171197.01,2454428.47,453
REV0000654,PRD98049,Health,Aba,13-01-24,19059.9969,24349.01926,6598584.22,5165259.16,271
REV0000655,PRD52176,Fashion,Aba,05-01-24,7685.422616,10542.12421,8623457.6,6286675.7,818
REV0000658,PRD51270,Health,Ibadan,17-01-24,2857.035283,4286.618683,2799162,1865644.04,653
REV0000673,PRD30801,Fashion,Warri,26-01-24,4737.810667,5991.563267,898734.49,710671.6,150
REV0000677,PRD39827,Fashion,Abuja,31-01-24,6233.01065,7560.015032,5934611.8,4892913.36,785
REV0000680, PRD19336,Health,Abuja,19-01-24,5461.61543,7610.494362,,1840564.4,337
REV0000688,PRD53639,Home & Living, Benin City,19-01-24,293.2772018,420.6480734,275103.84,191803.29,654
