record_id,product_id,category,city,date,Unit_Cost_ngn,Unit_Price_ngn,revenue_ngn,cost_ngn,units_sold
REV0000003,PRD56910,Home & Living,Onitsha,01-07-24,8700.529325,11338.01964,8401472.55,6447092.23,741
REV0000011 ,PRD84966,Home & Living,Kaduna,24-07-24,4607.343753,6783.485979,2530240.27,1718539.22,373
REV0000012,PRD65981, Electronics ,Warri,01-07-24,176815.6173,252117.7413,,2652234.26,15
REV0000013,PRD40000,Electronics,Aba,05-07-24,10534.9946,17370.58826,7886247.07,4782887.55,454
REV0000025,PRD11166,Baby & Kids,Kano,20-07-24,5863.950516,8967.028897,3819954.31,,426
REV0000026,PRD13411,Groceries,Jos,26-07-24,3820.739186,5850.949754,,3568570.4,934
REV0000027,PRD73156,Electronics,Aba,25-07-24,11740.83548,16589.9327,,5612119.36,478
REV0000034,PRD71943,Baby & Kids,Onitsha,17-07-24,7007.978322,9609.678809,,5178895.98,739
REV0000036,PRD76037,Electronics,Warri,26-07-24,60690.04173,93744.69321,7593320.15,4915893.38,81
REV0000040,PRD22434,Groceries,Kano,04-07-24,38886.3992,51522.94348,5770569.67,,112
REV0000045, PRD85286,Fashion ,Ilorin,10-07-24,1000.384223,1579.423807,833935.77,528202.87,528
REV0000051,PRD37918,Groceries,Enugu,13-07-24,4354.738858,7125.465197,5429604.48,,762
REV0000060,PRD85427,Beauty & Personal Care,Jos,30-07-24,16361.81626,23580.72121,9337965.6,6479279.24,396
REV0000068,PRD13816,Automotive,Abeokuta,04-07-24,11422.14889,16693.09747,,4431793.77,388
REV0000086,PRD40184,Baby & Kids,Warri,27-07-24,5011.381465,7856.610108,4344705.39,2771293.95,553
REV0000090,PRD97024,Baby & Kids,Abeokuta,07-07-24,10138.14497,13138.22107,7961761.97,6143715.85,606
REV0000091,Prd31348,Books & Media,Abuja,03-07-24,14015.05761,19510.59779,9813830.69,7049573.98,503
REV0000105,PRD26679,Automotive, Onitsha ,23-07-24,748.9432078,1062.146921,986734.49,695768.24,929
REV0000111,PRD75777,Beauty & Personal Care,Ilorin,13-07-24,5543.460602,8403.228913,5025130.89,3314989.44,598
REV0000112,PRD78328,Fashion,Warri,16-07-24,7010.717981,10477.81353,3269077.82,2187344.01,312
REV0000121,PRD89970,Health,Abeokuta,19-07-24,5682.843005,6984.996822,6461122.06,5256629.78,925
REV0000124,PRD73591,Groceries,Port Harcourt,21-07-24,6596.764755,8876.108494,7074258.47,5257621.51,797
REV0000125, PRD52883 ,BABY & KIDS,Abeokuta,11-07-24,22415.8476,35037.78396,,4864238.93,217
REV0000145,PRD76012,Automotive,Benin City,10-07-24,6264.239925,7622.958017,7112219.83,,933
REV0000149,PRD59708,Automotive,Port Harcourt,31-07-24,6646.000407,10517.5742,6457790.56,4080644.25,614
REV0000161,PRD53949,Health,Kano,12-07-24,7404.7319,9392.180369,5090561.76,4013364.69,542
REV0000171,PRD98696,Baby & Kids,Aba,05-07-24,9848.375286,11833.77667,,3781776.11,384
REV0000184,PRD24080,Groceries,Abeokuta,11-07-24,8081.79428,11034.09009,8816237.98,,799
REV0000191,PRD86038,Electronics,Abuja ,28-07-24,12445.49247,15392.83014,8727734.69,7056594.23,567
REV0000194, PRD41381,Books & Media,Kaduna,02-07-24,24444.1558,35333.42975,9928693.76,,281
REV0000207,Prd48505,Automotive,Aba,31-07-24,6963.861646,8427.438114,7374008.35,,875
REV0000222,PRD84964,Electronics,Lagos,26-07-24,4284.890021,5903.034432,5661010.02,4109209.53,959
rev0000241,PRD65977,Home & Living,Kano,23-07-24,2344.718658,3728.659918,3639172.08,2288445.41,976
REV0000258,PRD46507,Sports & Outdoors ,Jos,23-07-24,5862.519368,8140.524627,6439154.98,4637252.82,791
REV0000272,PRD92480,Sports & Outdoors,Kano,23-07-24,3080.501818,4027.612614,354429.91,271084.16,88
REV0000275,PRD66743,Sports & Outdoors,Kaduna,11-07-24,6538.721927,8983.080678,,6074472.67,929
REV0000280,PRD14307,Books & Media, Onitsha ,25-07-24,1537.73683,1895.216071,424528.4,344453.05,224
REV0000284,PRD69340,Books & Media,Warri,26-07-24,5047.221989,8276.971642,7863123.06,4794860.89,950
REV0000306,PRD27625,Automotive,Onitsha,30-07-24,286519.3644,345195.1107,9320267.99,,27
REV0000322,PRD76699,Beauty & Personal Care,Port Harcourt,29-07-24,5520.76664,6599.914032,3339556.5,2793507.92,506
REV0000331,PRD31023,Health,Kaduna,07-07-24,3053.732163,3973.895969,2296911.87,1765057.19,578
REV0000333,prd19288,Baby & Kids,Kano,09-07-24,13118.68335,17832.46869,6812003.04,,382
REV0000334 ,PRD42861, Automotive,Ilorin,11-07-24,805.6748333,951.3266667,456636.8,386723.92,480
REV0000346,Prd37103,Electronics,Benin City,01-07-24,11221.25203,13637.68472,,2210586.65,197
REV0000351,PRD75541,Baby & Kids,Calabar,14-07-24,5324.811656,6281.610231,,2539935.16,477
REV0000356,PRD78662,beauty & personal care,Kaduna,06-07-24,6749.026675,9946.269818,7658627.76,5196750.54,770
