record_id,product_id,category,city,date,Unit_Cost_ngn,Unit_Price_ngn,revenue_ngn,cost_ngn,units_sold
REV0000014,PRD77697,Groceries,Jos,29-06-24,33439.78892,52460.82716,9233105.58,5885402.85,176
REV0000024,PRD45065,Automotive,Benin City,15-06-24,26662.87087,34101.85433,3546592.85,2772938.57,104
REV0000043,PRD98224,Fashion,Jos,17-06-24,8257.217176,11532.97843,7842425.33,5614907.68,680
REV0000046,PRD20063,Fashion,Kaduna,08-06-24,8320.361615,10417.15133,8385806.82,6697891.1,805
REV0000065 ,PRD19947,BOOKS & MEDIA,Port Harcourt,12-06-24,21535.28484,28975.60721,8200096.84,,283
REV0000067,PRD32001,Fashion,Jos,01-06-24,5293.297049,8676.206354,7114489.21,4340503.58,820
REV0000071,PRD31172,Home & Living,Abuja,25-06-24,11583.51102,15350.13413,7061061.7,5328415.07,460
REV0000085,PRD43294,Automotive,Warri,12-06-24,20411.04162,30982.14664,8582054.62,5653858.53,277
REV0000087,PRD28720,Beauty & Personal Care,Abeokuta,20-06-24,7789.618713,11086.1577,7582931.87,5328099.2,684
REV0000089,PRD90737,Automotive,Kaduna,24-06-24,3538.841302,4509.173472,2597283.92,2038372.59,576
REV0000108, PRD14736,Fashion,Lagos,07-06-24,5188.963817,6127.87717,4222107.37,3575196.07,689
REV0000109,PRD48262, Automotive ,Abeokuta,26-06-24,7923.269694,9629.094582,9436512.69,7764804.3,980
REV0000130,PRD29749,Electronics,Jos,18-06-24,122660.3453,174608.9928,8206622.66,5765036.23,47
REV0000137,PRD47980,Fashion,Enugu,19-06-24,2539.466561,3364.501965,1164117.68,878655.43,346
REV0000173,PRD72366,Baby & Kids,abuja,16-06-24,80972.2525,119788.7139,4312393.7,2915001.09,36
REV0000177,PRD44887,Sports & Outdoors,Lagos,13-06-24,56805.45,67723.78532,,4374019.65,77
REV0000202,PRD36101,Groceries,Benin City,28-06-24,7055.143778,10907.46647,8835047.84,5714666.46,810
REV0000214,PRD74576,Beauty & Personal Care,Kano,18-06-24,3189.237682,3834.51583,3374373.93,2806529.16,880
REV0000221,PRD22371,Fashion,Abuja,24-06-24,1929.817577,2383.848943,1623401.13,1314205.77,681
REV0000223,PRD59210,Groceries,Onitsha,22-06-24,133744.1923,160030.774,6881323.28,5751000.27,43
REV0000232 ,PRD10542,Baby & Kids,Abuja,29-06-24,34157.309,47972.24407,6716114.17,4782023.26,140
REV0000235,PRD14901,Beauty & Personal Care,Abuja,22-06-24,2852.295904,3447.281827,,,498
REV0000236,PRD17618 ,Electronics,Ibadan,15-06-24,50684.96909,63646.75755,7001143.33,5575346.6,110
REV0000270,PRD96073,Health,Warri,17-06-24,19057.58527,27693.83097,5732623.01,3944920.15,207
REV0000291,PRD29130,Beauty & Personal Care, Aba,15-06-24,1956.029181,2563.488281,2191782.48,1672404.95,855
REV0000305,PRD96378,Health,Abeokuta,20-06-24,8450.599657,13141.83717,4599643.01,,350
REV0000309,PRD58360,Health,Kaduna,25-06-24,1271.964476,1878.527208,1594869.6,1079897.84,849
REV0000343,PRD86537,Sports & Outdoors,Kano,02-06-24,7814.829174,9791.015596,,,109
REV0000371,PRD45504,Automotive,Aba,04-06-24,9239.747716,11036.24451,9711895.17,8130977.99,880
REV0000373,PRD50744,Home & Living,Ibadan,06-06-24,11172.42216,16028.69414,8318892.26,5798487.1,519
REV0000417,PRD29115,Groceries,Ibadan,14-06-24,8838.164015,14358.46105,9404791.99,5788997.43,655
REV0000425,PRD13821,Home & Living,Ilorin,14-06-24,72756.34057,85676.51314,,5092943.84,70
REV0000438,PRD33819,Baby & Kids,Abeokuta,22-06-24,21100.67145,29960.43795,3505371.24,2468778.56,117
REV0000440,PRD95180, Books & Media,Warri,17-06-24,8861.226413,10459.63875,9068506.8,,867
REV0000447,PRD19948,Groceries,Onitsha,19-06-24,2774.099428,3892.890056,3468565.04,,891
REV0000448,PRD67960,Home & Living, Calabar,01-06-24,5341.667171,7101.988964,5070820.12,3813950.36,714
rev0000460,Prd55747,Automotive,Enugu,07-06-24,14015.5796,18162.64411,7337708.22,5662294.16,404
REV0000475,PRD85490,Beauty & Personal Care,Jos,08-06-24,4826.264931,6570.126931,3317914.1,2437263.79,505
REV0000494,PRD17785,Electronics,Warri,30-06-24,163924.3653,199636.2481,7186904.93,5901277.15,36
REV0000497,PRD77702,Groceries,Benin City,15-06-24,7155.960274,11420.42314,4579589.68,2869540.07,401
REV0000503,PRD97541,Health,Ilorin,22-06-24,6223.605341,9937.561136,874505.38,547677.27,88
REV0000504,PRD69481,home & living,Kaduna,08-06-24,14737.42333,22838.91853,8564594.45,5526533.75,375
REV0000510, PRD55401,electronics,Port Harcourt,27-06-24,22191.77566,34095.38549,5898501.69,3839177.19,173
REV0000511,PRD60265,Baby & Kids,Onitsha,11-06-24,2811.66978,4579.981416,4172363.07,2561431.17,911
REV0000531,PRD71481,Automotive,Ibadan,20-06-24,20630.67181,32033.46461,6534826.78,,204
REV0000552,PRD12643,Electronics,Enugu,26-06-24,6112.263833,9300.001972,,2200414.98,360
REV0000560,PRD62390,Automotive,ibadan,15-06-24,9292.137044,13477.48732,6792653.61,4683237.07,504
REV0000563,PRD82075,Baby & Kids,warri,19-06-24,24934.65856,41133.34106,8884801.67,,216
REV0000578,PRD38305,Baby & Kids,Ibadan,26-06-24,344.0964099,511.35547,391698.29,,766
REV0000588,PRD49492,Fashion,ILORIN,03-06-24,21909.2475,29332.98583,703991.66,,24
REV0000597,PRD61023, Home & Living,Abeokuta,25-06-24,14056.24537,18185.90332,5855860.87,4526111.01,322
REV0000611, PRD73687 ,Health,Warri,08-06-24,12454.43067,18056.02146,9407187.18,,521
 REV0000621,PRD96627, Groceries , Onitsha,29-06-24,3743.416711,4630.157975,4505143.71,3642344.46,973
REV0000623,PRD23022, Home & Living ,Kaduna,09-06-24,31976.33645,41005.37382,8898166.12,6938865.01,217
REV0000630,PRD47530 ,Home & Living,Aba,12-06-24,18954.72704,24608.94624,8243996.99,6349833.56,335
REV0000662,PRD52277,Groceries,Enugu,24-06-24,18210.88544,23562.2744,5937693.15,4589143.13,252
REV0000675,PRD88618,Health, Benin City ,23-06-24,5556.95348,8941.069265,8145314.1,5062384.62,911
REV0000676, PRD35620,Fashion,Onitsha,20-06-24,6364.87028,9645.680011,8613592.25,5683829.16,893
REV0000682,PRD98065, Fashion ,Jos,22-06-24,24314.80727,29384.17747,7434196.9,6151646.24,253
REV0000684,PRD47655, Groceries,Enugu,29-06-24,5272.102166,6714.814302,6540229.13,5135027.51,974
REV0000686,PRD86750,Beauty & Personal Care,Kaduna,27-06-24,22624.56912,28508.88127,8780735.43,6968367.29,308
REV0000690,PRD61825,Sports & Outdoors,Jos,26-06-24,13727.15612,22874.71741,4597818.2,2759158.38,201
 REV0000694 , PRD25231,Electronics,Calabar,06-06-24,23264.75418,29141.93705,,6234954.12,268
REV0000712,PRD94748,Health,Onitsha,19-06-24,5748.412951,7869.65292,5146753.01,3759462.07,654
REV0000714,PRD71931,Home & Living,Onitsha,20-06-24,1174.938258,1849.119057,1274043.03,809532.46,689
REV0000735,PRD63501,Home & Living, Kano ,24-06-24,20120.59527,24060.72209,9215256.56,7706187.99,383
REV0000744,PRD62201,Books & Media,Onitsha,27-06-24,5368.298014,7031.826589,3009621.78,2297631.55,428
REV0000752,PRD31031,Home & Living,Ilorin,26-06-24,15977.03533,22144.90758,5026894.02,3626787.02,227
REV0000753,PRD98900,Health,Ilorin,21-06-24,8720.759854,12921.16732,5297678.6,3575511.54,410
REV0000755,PRD56405, Groceries,ibadan,03-06-24,7196.667675,9032.206568,4895455.96,3900593.88,542
REV0000773,PRD39506,Groceries,Warri,15-06-24,1389.377811,1647.92255,1550695.12,1307404.52,941
REV0000794,PRD24116,Home & Living,Benin City,21-06-24,42375.29022,56476.40847,7737267.96,5805414.76,137
REV0000800,PRD52686, Fashion ,Warri,02-06-24,11894.0047,17221.52092,4873690.42,3366003.33,283
REV0000807,PRD89987,Books & Media, Benin City ,23-06-24,26255.38392,41971.55947,7177136.67,4489670.65,171
REV0000832,prd81615,Health ,Port Harcourt,20-06-24,111657.5433,131902.2761,4352775.11,3684698.93,33
REV0000840,PRD69011,Beauty & Personal Care,Port Harcourt,10-06-24,14376.74243,21112.74369,6692739.75,4557427.35,317
REV0000844,PRD16594,Automotive,Calabar,17-06-24,7529.029041,10701.41639,9042696.85,6362029.54,845
REV0000848,PRD21572,Sports & Outdoors,Ibadan,11-06-24,10439.92311,12529.40442,8144112.87,6785950.02,650
REV0000878,PRD26628,Sports & Outdoors,Enugu,16-06-24,55180.23459,75990.22671,6459169.27,,85
REV0000906,PRD76891,Books & Media,Port Harcourt,21-06-24,3023.608186,4091.902295,2549255.13,1883707.9,623
 REV0000917,PRD48259,Health ,benin city,06-06-24,15081.90156,17772.99777,5580721.3,4735717.09,314
REV0000920,PRD66680,Fashion,Lagos,02-06-24,69955.93885,100530.9779,6132389.65,4267312.27,61
REV0000921,PRD56653,Beauty & Personal Care,Jos,15-06-24,3751.879198,5557.793123,1939669.8,1309405.84,349
REV0000926,PRD36704,Automotive,aba,04-06-24,22616.12623,35395.72822,8742744.87,5586183.18,247
REV0000951,PRD95287,Sports & Outdoors,Kaduna,07-06-24,7975.32087,10684.21388,9092266.01,6786998.06,851
REV0000956,PRD50758,Fashion,Enugu,21-06-24,33111.98326,39814.2886,3424028.82,2847630.56,86
REV0000967,PRD74293,Baby & Kids,Kaduna,16-06-24,74186.78543,89690.76609,8251550.48,6825184.26,92
REV0000973,PRD13865,Automotive,IBADAN,29-06-24,11618.26143,14638.45676,,7168467.3,617
 REV0000996 ,PRD95258,Groceries,Abuja,15-06-24,72350.6892,105700.7577,9195965.92,6294509.96,87
REV0000997, PRD93691,Beauty & Personal Care,Aba,18-06-24,3063.896034,4973.913994,3511583.28,2163110.6,706
REV0001018,PRD12638,Groceries,Aba,17-06-24,6679.873548,8979.211425,6554824.34,,730
REV0001027,PRD27651,Sports & Outdoors,Abeokuta,22-06-24,3286.129135,4017.452596,1671260.28,1367029.72,416
REV0001043,PRD73070,Home & Living,Port Harcourt,27-06-24,6918.521529,9494.778686,7947129.76,5790802.52,837
REV0001049,PRD59706,Baby & Kids,Ibadan,16-06-24,1399.534904,1968.515134,1541347.35,1095835.83,783
REV0001061,prd73864,Baby & Kids,Calabar,01-06-24,213.6199042,318.1219329,199144.33,133726.06,626
