record_id,product_id,category,city,date,Unit_Cost_ngn,Unit_Price_ngn,revenue_ngn,cost_ngn,units_sold
REV0000001,PRD54925,Fashion,Enugu,25-03-24,4879.243412,6005.80179,5369186.8,4362043.61,894
REV0000006,PRD95303,beauty & personal care,Kano,26-03-24,11686.55809,18387.37246,4339419.9,2758027.71,236
REV0000019,PRD46914,Automotive,Warri,21-03-24,10984.53337,14150.6501,5547054.84,4305937.08,392
REV0000029,PRD33819,Fashion,Benin City,29-03-24,1827.137275,2251.133069,1049028.01,851445.97,466
REV0000041,PRD29121,Fashion,Enugu,20-03-24,8893.064315,10830.21041,9010735.06,7399029.51,832
REV0000056,PRD25278,Books & Media ,Onitsha,07-03-24,1557.88322,2317.877994,1432448.6,962771.83,618
REV0000070,PRD33923,Automotive,Ibadan,31-03-24,11137.08784,13146.78431,7375346,6247906.28,561
REV0000078,PRD55667,Sports & Outdoors , Port Harcourt ,12-03-24,3055.852944,3688.677753,3282923.2,2719709.12,890
REV0000082,PRD31638,Automotive,Onitsha,12-03-24,3072.827436,4117.85601,,2996006.75,975
REV0000104,PRD79002,Sports & Outdoors,Aba,22-03-24,9864.057326,12991.16096,8937918.74,6786471.44,688
REV0000110,PRD13704,Baby & Kids,Kano ,08-03-24,3969.418191,5925.836258,,3203320.48,807
REV0000119,PRD62858,Electronics,Warri,14-03-24,3309.645228,4746.086824,2914097.31,2032122.17,614
REV0000120,PRD88103,sports & outdoors,Warri,09-03-24,2830.979523,4538.837639,1711141.79,1067279.28,377
REV0000151,PRD96499,Baby & Kids,Aba,16-03-24,8859.775065,12557.26742,4859662.49,3428732.95,387
REV0000152,PRD37049,Electronics,Abeokuta,02-03-24,3947.701355,5442.778539,3575905.5,2593639.79,657
REV0000157,PRD46891,Automotive,Port Harcourt,03-03-24,11584.47576,17795.57829,7385164.99,4807557.44,415
REV0000165,PRD82893,Beauty & Personal Care,Benin City,26-03-24,20857.02388,26300.57269,9284102.16,7362529.43,353
REV0000179,PRD33800,Fashion,Port Harcourt,18-03-24,36422.3443,43262.05022,4023370.67,,93
REV0000192,PRD99512,beauty & personal care,IBADAN,06-03-24,2838.023001,3396.770934,2727607.06,2278932.47,803
REV0000193,PRD44324,Automotive,Lagos,14-03-24,3795.405924,5388.307707,,595878.73,157
REV0000201,PRD43681,Health,Calabar,02-03-24,1165.310699,1549.511668,1485981.69,1117532.96,959
REV0000208,PRD72803,Home & Living,Abuja,05-03-24,9607.194558,12027.87599,7625673.38,6090961.35,634
REV0000217,PRD79873,Groceries,Jos,10-03-24,4223.914691,6161.3807,1497215.51,1026411.27,243
REV0000237,PRD30785,health,Enugu,16-03-24,3080.180376,4757.375429,3163654.66,2048319.95,665
REV0000239,PRD39423,Electronics,Kaduna,19-03-24,10348.86502,14238.14131,9055457.87,6581878.15,636
REV0000247,PRD36495,Home & Living, Port Harcourt ,02-03-24,102846.608,168391.7568,9935113.65,6067949.87,59
