record_id,product_id,category,city,date,Unit_Cost_ngn,Unit_Price_ngn,revenue_ngn,cost_ngn,units_sold
REV0000002,PRD98221,Groceries,Enugu,01-05-24,7909.865054,9357.779592,3443662.89,2910830.34,368
REV0000004,PRD82012,Baby & Kids,Benin City,07-05-24,7883.350866,9555.332049,7835372.28,6464347.71,820
REV0000015,PRD27153, Groceries ,Enugu,03-05-24,5407.290309,7524.164456,5605502.52,4028431.28,745
REV0000021,PRD22636,Groceries,Port Harcourt,10-05-24,30182.23034,38105.98664,8954906.86,7092824.13,235
REV0000061,PRD30092,Beauty & Personal Care,kano,04-05-24,74607.80821,107742.7093,3016795.86,2089018.63,28
REV0000076,PRD88440,Electronics,Benin City,30-05-24,16852.57084,25486.38988,8512454.22,,334
REV0000081 ,PRD91920,Home & Living, Kano ,08-05-24,9068.001421,11211.27918,6390429.13,5168760.81,570
REV0000115,PRD86583,BEAUTY & PERSONAL CARE,Aba,21-05-24,7297.312933,10587.69379,3970385.17,2736492.35,375
REV0000123,PRD78951,Sports & Outdoors,Aba,08-05-24,2961.285678,4337.146215,2749750.7,1877455.12,634
REV0000144,PRD48940,Baby & Kids,Calabar,20-05-24,7071.543203,9905.905809,9123339.25,6512891.29,921
REV0000147,PRD14800,Automotive ,Ibadan,13-05-24,1735.319982,2084.593358,1148610.94,956161.31,551
REV0000176,PRD65108,Baby & Kids,Lagos,11-05-24,7846.946246,9683.84368,9131864.59,7399670.31,943
REV0000183,PRD77858,Health,Kano,27-05-24,10109.21883,15869.74815,4887882.43,3113639.4,308
REV0000187,PRD95980,Fashion,Benin City,23-05-24,11781.6244,15589.29077,8122020.49,6138226.31,521
REV0000196,PRD81730,automotive,Calabar,18-05-24,19619.54522,30555.96214,,5414994.48,276
REV0000205,PRD69939,Automotive,Aba,01-05-24,12892.4123,15580.26054,6917635.68,5724231.06,444
REV0000219,PRD49065,Beauty & Personal Care,Kano,11-05-24,16369.27696,20663.60387,8224114.34,6514972.23,398
REV0000248,PRD36679,Sports & Outdoors,Abeokuta,13-05-24,6035.549987,8454.816163,6434115.1,4593053.54,761
REV0000261,PRD43502,Books & Media,Warri,10-05-24,2013.686057,2951.247985,2402315.86,1639140.45,814
REV0000266,PRD43866,Sports & Outdoors,Kano,08-05-24,4059.499024,6058.780228,5586195.37,,922
REV0000267,PRD50871,Books & Media,Enugu,12-05-24,5789.738313,7434.82825,5947862.6,4631790.65,800
REV0000287,prd33433,Beauty & Personal Care,ILORIN,09-05-24,9014.073715,10912.89296,5816571.95,4804501.29,533
REV0000290,PRD37251,Fashion,Enugu,03-05-24,384668.766,508325.938,7624889.07,,15
REV0000294,PRD75668,groceries,Abuja,22-05-24,5626.531609,7421.163527,5996300.13,4546237.54,808
REV0000297,PRD98458,Health,Abuja,22-05-24,11658.03065,14089.2471,9975186.95,8253885.7,708
REV0000313,PRD85340,Baby & Kids,Kano,01-05-24,3640.632936,5743.057905,4577217.15,2901584.45,797
REV0000314,PRD34310,Fashion,Calabar,12-05-24,11823.84597,18311.18173,6866693.15,4433942.24,375
REV0000320,PRD10810,Automotive,Lagos,17-05-24,22880.33701,32806.15858,6692456.35,4667588.75,204
REV0000323,PRD44155,Health,Abeokuta,31-05-24,17736.31498,24283.00785,,7271889.14,410
REV0000326,PRD41841,Health,Abuja,05-05-24,3337.537708,4678.921293,4449654.15,3173998.36,951
REV0000328,PRD27060,Groceries,Onitsha,28-05-24,7485.359149,11229.00025,3166578.07,,282
REV0000330,PRD22227,Home & Living,PORT HARCOURT,24-05-24,3984.164374,5636.588807,,,679
REV0000355,PRD65092,Groceries ,Aba,31-05-24,630.5165634,769.4752958,546327.46,447666.76,710
REV0000361,PRD15109,Beauty & Personal Care,Warri,29-05-24,47359.21604,60476.27792,6410485.46,5020076.9,106
REV0000401,PRD44655,Beauty & Personal Care,IBADAN,09-05-24,9893.404044,11798.10199,9190721.45,7706961.75,779
REV0000403,PRD24554,Sports & Outdoors,Kaduna,28-05-24,10315.30805,12302.18496,7516635.01,6302653.22,611
REV0000418,PRD99691,Health,Jos,14-05-24,7243.126333,8713.135333,6012063.38,4997757.17,690
 REV0000429,prd67060,Books & Media,Ibadan,08-05-24,44034.10434,58165.65113,3082779.51,2333807.53,53
REV0000433,PRD26002,Books & Media,Enugu,19-05-24,21169.04621,28632.08169,,5525121.06,261
REV0000449,PRD42952,Home & Living,Onitsha,12-05-24,2433.007891,3197.29034,470001.68,357652.16,147
REV0000453,PRD23642,Health,Enugu,06-05-24,2954.830638,4393.700601,2412141.63,1622202.02,549
REV0000483,PRD15951,Groceries,Kaduna,16-05-24,5834.099479,8233.03955,3474342.69,2461989.98,422
REV0000485,PRD91889,Beauty & Personal Care,Enugu,03-05-24,9186.723926,11403.43485,6796447.17,5475287.46,596
REV0000488 ,PRD48114,Books & Media,Ibadan,15-05-24,9301.685509,12477.80763,7112350.35,5301960.74,570
REV0000491,PRD58474,Groceries,Warri,30-05-24,378658.9144,539726.1439,9715070.59,6815860.46,18
REV0000492,PRD10765,Sports & Outdoors,Kano,16-05-24,16448.14571,19851.378,1389596.46,1151370.2,70
REV0000500, PRD39969, Books & Media,Warri,09-05-24,1682.640634,2342.914473,2068793.48,1485771.68,883
REV0000509,PRD99756,Sports & Outdoors,Aba ,12-05-24,867.5118899,1028.180125,,835413.95,963
REV0000520,Prd89662,Books & Media,Enugu,05-05-24,6091.213617,8384.173806,3546505.52,2576583.36,423
REV0000524,PRD71565,Electronics,Aba,14-05-24,21010.00525,32685.50054,,,242
 REV0000536 ,PRD87075,Automotive, Kano ,18-05-24,139717.16,198109.3573,,,26
REV0000555,PRD62416,Books & Media,Jos,23-05-24,4927.950365,8112.795671,6895876.32,,850
REV0000570,PRD15995,Home & Living, Calabar,18-05-24,29387.11074,36086.50032,6820348.56,5554163.93,189
REV0000571,PRD92767,Electronics ,Calabar,21-05-24,6545.320509,7793.629787,6585617.17,5530795.83,845
REV0000594,PRD56499,Baby & Kids,Kano,04-05-24,5048.713761,6339.072806,2123589.39,1691319.11,335
REV0000622 ,PRD21315,Electronics,Abuja,21-05-24,4517.465669,6408.66625,,3108016.38,688
rev0000625,PRD63325,Health,Jos,05-05-24,11864.56205,17651.11481,5171776.64,3476316.68,293
REV0000627,PRD39456,fashion,Warri,30-05-24,11202.22817,17480.39963,8006023.03,5130620.5,458
REV0000629,PRD68425 ,Books & Media,Warri ,15-05-24,355.5756322,458.1012213,318838.45,,696
REV0000631,PRD30877,Groceries,Calabar,31-05-24,3011.37527,3573.13728,2311819.82,1948359.8,647
REV0000634,PRD49615,Groceries,Onitsha,05-05-24,5107.733684,7942.904005,6942098.1,4464159.24,874
 REV0000640 ,PRD59094,Sports & Outdoors,Jos,28-05-24,7823.115031,10597.00826,3412236.66,2519043.04,322
REV0000646,PRD65182,Baby & Kids,Jos,14-05-24,6368.345146,8423.695712,4321355.9,3266961.06,513
REV0000647,PRD26511,Electronics,Abuja,08-05-24,5103.535938,7780.599245,2987750.11,1959757.8,384
REV0000656, PRD75108 ,Sports & Outdoors,Lagos,16-05-24,5614.431972,7292.178254,2588723.28,1993123.35,355
REV0000657,PRD61446,Sports & Outdoors,Port Harcourt,22-05-24,5151.002124,8317.689451,3485111.88,2158269.89,419
REV0000663,PRD53830,Books & Media,Lagos,13-05-24,19265.35292,29980.85695,8844352.8,5683279.11,295
REV0000669,PRD98241,Books & Media, Abuja,05-05-24,17047.48994,20305.09342,7370748.91,,363
 REV0000671,PRD32098,Beauty & Personal Care,Kano,21-05-24,4162.902081,6076.558689,5517515.29,3779915.09,908
REV0000679,PRD27686,Baby & Kids,Enugu,28-05-24,3558.907263,5332.883832,4772931.03,3185222,895
REV0000701,PRD66185,Home & Living,Warri,31-05-24,952.0501531,1120.470319,878448.73,,784
REV0000704,PRD98322,Fashion,Kaduna,20-05-24,5222.005435,6664.637006,3139044.03,2459564.56,471
REV0000715,PRD68963,Home & Living,Jos,12-05-24,6835.300362,9217.073965,8903693.45,6602900.15,966
REV0000717,PRD79166,Automotive,Ibadan,06-05-24,6289.532882,10048.09197,,5151127.43,819
REV0000725,PRD92713,Groceries,Kano,03-05-24,1819.041933,2983.41885,,1788118.22,983
 REV0000731 ,PRD26287,Fashion,Kaduna,09-05-24,15229.39318,20106.81005,4302857.35,3259090.14,214
REV0000732,Prd98612,Books & Media,Ibadan,17-05-24,2804.975585,4046.305041,2456107.16,1702620.18,607
REV0000741,PRD31661,Baby & Kids,Ibadan,27-05-24,3555.468743,4337.141639,793696.92,650650.78,183
REV0000748,PRD64376,Books & Media,Calabar,05-05-24,8419.544755,10418.63711,,6356756.29,755
REV0000749,PRD50688,Electronics,Aba,07-05-24,7161.052689,10495.6622,9834435.48,6709906.37,937
REV0000757,PRD57155,Health,Onitsha,28-05-24,122.7687013,156.7095779,144799.65,113438.28,924
REV0000769,PRD26037,Groceries,Kano,25-05-24,6786.886633,8568.439191,8474186.36,6712230.88,989
REV0000775,PRD95203,Fashion,Abuja,30-05-24,4066.623709,5939.135694,4579073.62,3135366.88,771
REV0000783,PRD16920,Electronics,Onitsha,19-05-24,5677.965332,8956.069903,7424581.95,4707033.26,829
REV0000829,PRD83727,Groceries,Warri,24-05-24,9223.807107,12923.9077,7638029.45,5451270,591
REV0000842,PRD72179 ,Home & Living,Kano,18-05-24,12459.68966,15423.27354,4534442.42,3663148.76,294
 REV0000866,PRD49328,Baby & Kids,Ibadan,02-05-24,4661.275394,6726.815288,3154876.37,2186138.16,469
REV0000877,PRD61916,AUTOMOTIVE,Calabar,22-05-24,1821.827773,2293.830141,2121792.88,1685190.69,925
REV0000882,PRD72401,Home & Living,Warri,28-05-24,3769.827554,5391.058034,2248071.2,1572018.09,417
REV0000901,PRD80994,Health,Enugu,01-05-24,1469.658048,2315.369067,1340598.69,850932.01,579
Rev0000911,Prd95934,Health,Ilorin,04-05-24,3104.785958,4754.766454,2976483.8,1943596.01,626
 REV0000913 ,PRD56127,Home & Living,Enugu,16-05-24,4531.151955,5352.325652,3778741.91,3198993.28,706
REV0000915,PRD38228,Fashion,Kano,21-05-24,7531.429646,9592.477623,8393417.92,6590000.94,875
REV0000924,PRD53710,Health,Lagos,04-05-24,2478.890784,3861.147353,393837.03,252846.86,102
