record_id,product_id,category,city,date,Unit_Cost_ngn,Unit_Price_ngn,revenue_ngn,cost_ngn,units_sold
REV0000010,PRD70120,Health,Calabar,24-10-24,8624.099052,11514.70054,7899084.57,5916131.95,686
REV0000022,PRD40863,Groceries ,Enugu,12-10-24,5111.476742,6873.209078,3354126.03,2494400.65,488
REV0000032,PRD27026,Home & Living,Onitsha,24-10-24,5815.625628,7043.582461,4092321.41,3378878.49,581
REV0000048,PRD74041,Fashion, Warri ,16-10-24,4260.869228,5044.920823,3985487.45,3366086.69,790
Rev0000050,PRD92477,Beauty & Personal Care,Calabar,10-10-24,7150.419352,11621.91842,5741227.7,3532307.16,494
Rev0000052,PRD31425, Electronics,Kaduna,26-10-24,2707.737482,3670.4241,3017088.61,2225760.21,822
REV0000062,prd72891,Groceries,ABUJA,27-10-24,18552.71208,23090.81975,3671440.34,2949881.22,159
REV0000079,PRD87492,Sports & Outdoors,Warri,01-10-24,73122.74895,97885.71211,3719657.06,,38
REV0000088,PRD56925,Automotive,Onitsha,26-10-24,5457.118938,6997.432639,6787509.66,5293405.37,970
REV0000132,Prd81264,Books & Media,Lagos,24-10-24,26649.54121,42599.49686,8818095.85,5516455.03,207
REV0000142,PRD71429,Groceries,Calabar,02-10-24,11650.76745,16441.86794,5425816.42,3844753.26,330
REV0000150,PRD12744,Sports & Outdoors,Lagos,05-10-24,8061.100295,10454.32206,7453931.63,5747564.51,713
REV0000155,PRD38304,Beauty & Personal Care,Abuja,26-10-24,76421.17767,101531.5017,3045945.05,2292635.33,30
rev0000163,PRD56605,Home & Living,Onitsha,24-10-24,1255.31759,1675.975274,1439662.76,1078317.81,859
REV0000166,prd53465,Electronics,Enugu,24-10-24,20310.89259,24782.98063,,6418242.06,316
REV0000168,PRD87217, Beauty & Personal Care ,Onitsha,21-10-24,5402.769625,7297.921662,7203048.68,5332533.62,987
REV0000182,PRD51211,Fashion,Enugu,24-10-24,11981.91089,14469.15754,3241091.29,2683948.04,224
REV0000189,PRD56890,Books & Media,Benin City,25-10-24,214.6376754,331.4197368,,146812.17,684
REV0000211,PRD88555,Electronics,Ibadan,19-10-24,446.0247704,556.0597959,,174841.71,392
REV0000229,PRD63411,Sports & Outdoors,Kaduna,11-10-24,74223.68426,93685.70088,6370627.66,5047210.53,68
REV0000233,PRD57364,Automotive,WARRI,02-10-24,3038.812965,4475.533444,3365601.15,2285187.35,752
REV0000250, PRD94144 ,Health,Port Harcourt,12-10-24,3985.89219,4977.550921,,2985433.25,749
REV0000256,PRD69741,Fashion,Onitsha,22-10-24,16514.95072,22383.33243,7453649.7,5499478.59,333
REV0000257,PRD26946,Beauty & Personal Care,Onitsha,16-10-24,16352.84565,20304.06171,9745949.62,,480
REV0000260,PRD18351,Baby & Kids,Abeokuta,13-10-24,1947.195714,2654.976682,,1690165.88,868
REV0000271,PRD68481,Sports & Outdoors,Ibadan,27-10-24,13532.5017,18521.99252,6982791.18,5101753.14,377
REV0000273,PRD84276,Sports & Outdoors ,Lagos,02-10-24,3518.239702,5667.307321,952107.63,591064.27,168
REV0000274,PRD58347,Electronics,Ilorin,03-10-24,5301.466234,7620.29534,3581538.81,2491689.13,470
REV0000278,PRD85376,Books & Media,Enugu,16-10-24,8333.379114,12427.90842,4486474.94,3008349.86,361
REV0000279,PRD27157,Health,ONITSHA,25-10-24,2037.232094,3220.366218,1507131.39,953424.62,468
REV0000288,PRD39688,Electronics,Jos,18-10-24,55444.43333,81949.22541,9096364.02,6154332.1,111
REV0000293,PRD72468,AUTOMOTIVE,Aba,21-10-24,228064.58,349001.1763,6631022.35,,19
REV0000295,PRD25688,Beauty & Personal Care,Port Harcourt,10-10-24,525.8297602,722.5743885,602627.04,438542.02,834
REV0000324,PRD50424,Beauty & Personal Care,Ibadan,06-10-24,10952.03924,16204.28534,,5760772.64,526
REV0000350,PRD77345, Groceries ,Ibadan,01-10-24,5801.60123,9414.090688,7117052.56,4386010.53,756
REV0000359,prd41927,FASHION,Warri,20-10-24,10250.27365,14131.78598,4988520.45,3618346.6,353
REV0000369,PRD46888,Groceries ,Ilorin,01-10-24,9036.84358,11420.12836,5710064.18,4518421.79,500
 REV0000414,PRD32462,Health ,Calabar,24-10-24,7907.911139,9786.663215,7731463.94,6247249.8,790
REV0000430,PRD12250,Health,Port Harcourt,03-10-24,3243.948405,4433.053477,2473643.84,1810123.21,558
REV0000462,PRD20725,Beauty & Personal Care, Onitsha ,13-10-24,33632.82584,50239.86321,6882861.26,4607697.14,137
REV0000468,PRD19720,Fashion,Jos,13-10-24,7371.060572,9785.327339,6839943.81,,699
REV0000469,PRD56515,Sports & Outdoors,Jos,05-10-24,30773.62277,38570.75942,,5877761.95,191
REV0000473,PRD10464,Automotive,Jos,27-10-24,11618.06382,18938.63747,6439136.74,3950141.7,340
REV0000493,PRD11532,Electronics,KADUNA,21-10-24,18673.68359,24167.4323,9763642.65,7544168.17,404
REV0000522,PRD47844, Automotive,Enugu,09-10-24,2419.373381,3801.684429,798353.73,,210
REV0000535,PRD83429,Beauty & Personal Care,Kaduna,07-10-24,23046.77427,29817.89537,7603563.32,5876927.44,255
REV0000542,PRD49217,Groceries,Lagos,09-10-24,32510.75149,40289.63952,6768659.44,5461806.25,168
REV0000547,PRD66001,Electronics,Onitsha,02-10-24,8646.214225,12255.28729,4031989.52,2844604.48,329
REV0000548,PRD31766,Beauty & Personal Care,Abeokuta,11-10-24,5432.818333,8260.188924,6988119.83,4596164.31,846
REV0000553 ,PRD86037,Groceries,Benin City,19-10-24,6671.511901,8362.576274,4398715.12,3509215.26,526
REV0000561,PRD46097,Electronics, Aba,26-10-24,9102.737805,11054.99317,9872108.9,8128744.86,893
REV0000565,PRD72197,Home & Living,Abuja,19-10-24,3241.078992,4125.112909,2169809.39,1704807.55,526
REV0000576,PRD84454,Baby & Kids,Ibadan,08-10-24,2138.699011,3220.008022,293020.73,194621.61,91
REV0000600,PRD95870,Beauty & Personal Care,Aba,04-10-24,3511.953766,4904.78855,2266012.31,1622522.64,462
 REV0000619 , PRD56370 ,Health,Ilorin,05-10-24,15166.80324,23198.8349,8374779.4,5475215.97,361
REV0000620,PRD11786,Books & Media,Ilorin,10-10-24,24454.73483,39933.0411,6868483.07,4206214.39,172
REV0000642,PRD97551,Books & Media,Abeokuta,07-10-24,5316.754702,7117.587286,5978773.32,4466073.95,840
REV0000644,PRD20096,Automotive,Kano,15-10-24,6120.359012,8398.297969,7482883.49,5453239.88,891
REV0000659,PRD40936,Automotive,Calabar,09-10-24,271.2696994,392.0151329,339093.09,234648.29,865
REV0000665,PRD11621,Beauty & Personal Care,Calabar,23-10-24,7748.671488,9475.79692,8215515.93,6718098.18,867
REV0000666,PRD60701,Books & Media,Calabar,08-10-24,1774.228206,2419.533946,539556.07,395652.89,223
REV0000670,PRD90339,Groceries,Port Harcourt ,14-10-24,28067.08773,45089.642,3381723.15,2105031.58,75
REV0000687,PRD67993,Beauty & Personal Care,Benin City,01-10-24,9456.294,14423.74588,5841617.08,3829799.07,405
REV0000693,PRD73916,Baby & Kids,Enugu,13-10-24,3491.864983,4459.639444,2649025.83,2074167.8,594
REV0000706,PRD29175,Groceries,Jos,20-10-24,1312.44446,1783.136702,,1118202.68,852
REV0000724,PRD35034,Groceries,Abeokuta,20-10-24,372.702879,501.4040676,459787.53,341768.54,917
REV0000738,PRD43379,Fashion,Kano,25-10-24,1593.799638,1983.54875,1808996.46,1453545.27,912
