record_id,product_id,category,city,date,Unit_Cost_ngn,Unit_Price_ngn,revenue_ngn,cost_ngn,units_sold
REV0000009,PRD97639,Electronics,Kano,07-09-24,11917.4707,14740.45234,6751127.17,,458
REV0000017,PRD63503,Groceries,Jos,20-09-24,921.998905,1329.472231,1286929.12,892494.94,968
REV0000023,PRD22593,Health,Calabar,05-09-24,13855.12248,19114.11928,9862885.55,7149243.2,516
REV0000053,PRD44304,Books & Media, Ibadan,28-09-24,4383.027935,6692.332915,3306012.46,2165215.8,494
REV0000059,PRD60119,Groceries,Warri,08-09-24,72015.82552,92198.03478,6177268.33,4825060.31,67
rev0000066,PRD74621,Baby & Kids,Onitsha,08-09-24,14332.87678,17481.46985,8251253.77,,472
REV0000072,PRD84515,Sports & Outdoors,Kaduna,17-09-24,10289.5284,13486.27261,,5391712.88,524
REV0000075,PRD54596,Health,onitsha,26-09-24,301.1682524,408.1248112,378331.7,279182.97,927
REV0000084,prd56251,Beauty & Personal Care,Kano,04-09-24,36726.91416,44375.90225,,,89
REV0000095,PRD47954, Fashion,Port Harcourt,05-09-24,5985.401786,8462.394791,7912339.13,5596350.67,935
REV0000096,PRD47574, Sports & Outdoors ,Aba,07-09-24,6449.689301,9095.163199,5857285.1,4153599.91,644
REV0000101,PRD89041,Beauty & Personal Care,Ilorin,18-09-24,64173.20747,105403.9015,,,75
REV0000102,PRD12234,SPORTS & OUTDOORS,Abuja ,28-09-24,31602.8682,39945.39479,6670880.93,5277678.99,167
REV0000103,PRD48370,Groceries,abeokuta,07-09-24,6985.701192,9523.27473,5113998.53,3751321.54,537
REV0000118,PRD82611,Automotive,Calabar,09-09-24,4693.662921,7631.778797,6532802.65,4017775.46,856
REV0000122,PRD90705,Sports & Outdoors,Port Harcourt,21-09-24,5395.085437,7073.034498,3239449.8,2470949.13,458
REV0000126,PRD44167,Automotive,Lagos,04-09-24,2130.3475,3536.175701,3125979.32,1883227.19,884
REV0000136,PRD29209,Books & Media,Calabar,10-09-24,7387.271231,9759.72658,8246968.96,6242244.19,845
REV0000140,PRD71862,Baby & Kids ,Warri,20-09-24,13030.7347,18215.58355,9381025.53,6710828.37,515
REV0000153,PRD89159,Books & Media,Enugu,01-09-24,9709.51784,11428.42812,9417024.77,8000642.7,824
REV0000154,PRD15821,Electronics,Aba,02-09-24,129255.2477,161126.0205,3544772.45,2843615.45,22
REV0000156,PRD31192,Groceries,Ilorin ,03-09-24,30578.39889,37315.46794,7425778.12,6085101.38,199
REV0000158,PRD19955,Beauty & Personal Care,Lagos ,13-09-24,10604.3645,15972.73987,7379405.82,4899216.4,462
REV0000174,PRD48862,Automotive,Abuja,18-09-24,8943.176078,11083.27537,6273133.86,,566
REV0000175,PRD46375,Groceries ,Kano,18-09-24,859.299899,1079.906768,427643.08,,396
REV0000181,PRD88226,Electronics,Lagos,05-09-24,2708.831267,4441.802578,4135318.2,2521921.91,931
REV0000213,PRD90943,Beauty & Personal Care,Benin City,16-09-24,27791.43531,41179.77938,2635505.88,1778651.86,64
REV0000218,PRD78909,Groceries, Onitsha ,17-09-24,1614.859016,2510.896086,2219632.14,,884
REV0000225,PRD54304,Home & Living,ONITSHA,11-09-24,30727.0236,36915.11644,8195155.85,,222
